<>	1	2	3	4	5	6	7	8	9	10	11	12	
B	0.28872	0.24568	0.25224	0.24698	0.23856	0.22472	0.2735	0.23808	0.23944	0.24354	0.25138	0.27406	
C	0.2597	0.23502	0.25098	0.24424	0.24016	0.24102	0.26384	0.24586	0.24688	0.25068	0.2692	0.26334	
D	0.26036	0.25136	0.26934	0.2509	0.24358	0.25822	0.26614	0.24644	0.24884	0.23536	0.2583	0.26678	
E	0.13762	0.13998	0.16686	0.17838	0.1457	0.13958	0.15436	0.1416	0.1474	0.12918	0.1599	0.16038	
F	0.1349	0.13066	0.15552	0.1798	0.14428	0.2021	0.1632	0.1518	0.1519	0.1331	0.15822	0.1673	
G	0.13834	0.13358	0.1453	0.1516	0.13502	0.1376	0.15418	0.14526	0.1538	0.1307	0.17402	0.1646	
H	0.14058	0.13994	0.14608	0.24144	0.18026	0.19594	0.2167	0.21166	0.2084	0.1848	0.15926	0.1507	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.25964	0.25998	0.2912	0.24438	0.2643	0.24236	0.31816	0.2494	0.24988	0.23386	0.26108	0.30454	
B	0.28852	0.24822	0.2617	0.24756	0.23892	0.2261	0.29158	0.24054	0.24458	0.24462	0.25698	0.29434	
C	0.25984	0.2352	0.25448	0.24558	0.24128	0.24646	0.27644	0.24596	0.25018	0.25112	0.27356	0.28206	
D	0.262	0.2531	0.28346	0.25196	0.24586	0.25842	0.28026	0.24894	0.25488	0.23656	0.26308	0.27536	
E	0.13986	0.14166	0.18656	0.18536	0.15118	0.14174	0.168	0.14662	0.15866	0.12966	0.16926	0.1761	
F	0.13554	0.13226	0.17262	0.1853	0.14976	0.20462	0.17674	0.15592	0.15924	0.13386	0.16666	0.18002	
G	0.13946	0.13404	0.15248	0.15366	0.13634	0.13806	0.16488	0.1468	0.16342	0.13152	0.19218	0.18152	
H	0.14168	0.14382	0.16062	0.24914	0.18136	0.1984	0.23246	0.21398	0.21414	0.18614	0.17216	0.168	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.26128	0.26722	0.31658	0.2482	0.2665	0.2497	0.3534	0.25232	0.25694	0.23592	0.2698	0.32678	
B	0.29182	0.25622	0.27238	0.25164	0.24172	0.2304	0.31362	0.24436	0.25102	0.24592	0.2654	0.31792	
C	0.26102	0.2364	0.25858	0.24578	0.2442	0.24686	0.29232	0.2481	0.25426	0.252	0.2779	0.29874	
D	0.26314	0.25538	0.30574	0.25414	0.24978	0.26056	0.29762	0.25134	0.2578	0.23738	0.27048	0.2886	
E	0.14394	0.14388	0.23746	0.197	0.16064	0.14854	0.1891	0.1508	0.16626	0.131	0.1859	0.1986	
F	0.13782	0.13546	0.20814	0.19352	0.15836	0.21172	0.20346	0.15998	0.16554	0.13518	0.18134	0.20096	
G	0.14192	0.13664	0.1626	0.16486	0.13954	0.14018	0.18494	0.15118	0.1754	0.13346	0.21494	0.21534	
