<>	1	2	3	4	5	6	7	8	9	10	11	12	
B	0.44024	0.4381	0.44028	0.44578	0.39604	0.4283	0.47702	0.4196	0.44628	0.43924	0.4297	0.39446	
C	0.45832	0.42622	0.41656	0.4206	0.4573	0.3879	0.43148	0.42162	0.41146	0.42016	0.40454	0.43274	
D	0.41142	0.39136	0.42814	0.40438	0.42194	0.36662	0.45924	0.45094	0.43166	0.43402	0.4176	0.4149	
E	0.46958	0.47392	0.45412	0.47082	0.48234	0.4355	0.52984	0.48778	0.48046	0.51442	0.47798	0.50088	
F	0.43602	0.44452	0.48144	0.44726	0.482	0.39156	0.52538	0.44146	0.4616	0.52044	0.43608	0.4918	
G	0.47084	0.4358	0.4429	0.40776	0.4293	0.41476	0.42788	0.41034	0.42818	0.41756	0.39352	0.41732	
H	0.40654	0.428	0.45256	0.37862	0.41084	0.40294	0.42338	0.37284	0.42812	0.4276	0.40398	0.42236	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.42786	0.40482	0.42114	0.44312	0.4343	0.37044	0.46852	0.4116	0.41722	0.42674	0.39458	0.41866	
B	0.45024	0.44232	0.44294	0.45402	0.4287	0.4314	0.4878	0.42596	0.46042	0.45112	0.43192	0.39552	
C	0.42928	0.40146	0.41882	0.4239	0.40448	0.39126	0.43254	0.42428	0.41716	0.42676	0.40836	0.43534	
D	0.4274	0.45126	0.43718	0.41348	0.433	0.37214	0.4633	0.46218	0.44384	0.45502	0.42956	0.42554	
E	0.48858	0.49954	0.47176	0.48602	0.50408	0.48972	0.5445	0.50318	0.50132	0.54176	0.49216	0.51714	
F	0.45342	0.47046	0.50266	0.4603	0.49836	0.40452	0.54274	0.4556	0.481	0.5446	0.4466	0.50276	
G	0.37522	0.44908	0.45248	0.41522	0.43742	0.42304	0.4382	0.41734	0.44166	0.43996	0.40974	0.42492	
H	0.42092	0.44836	0.4766	0.38768	0.42156	0.4083	0.43752	0.38636	0.44014	0.4425	0.41498	0.43668	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.43844	0.41708	0.42296	0.44966	0.4383	0.40058	0.47674	0.41502	0.41942	0.43408	0.39624	0.42488	
B	0.46814	0.45318	0.45522	0.4687	0.44566	0.43818	0.4989	0.43762	0.46782	0.46714	0.44432	0.40686	
C	0.43506	0.44128	0.42458	0.42946	0.46278	0.39396	0.4358	0.42628	0.41924	0.43064	0.41146	0.43818	
D	0.43818	0.44568	0.44114	0.41684	0.43968	0.43162	0.4709	0.46838	0.45162	0.46294	0.44206	0.43576	
E	0.51632	0.52946	0.49952	0.5125	0.53348	0.50868	0.57036	0.52772	0.52058	0.57196	0.51712	0.54134	
F	0.47396	0.50108	0.52964	0.4762	0.52074	0.42322	0.56894	0.47422	0.49806	0.5681	0.46294	0.52506	
G	0.38768	0.46912	0.47248	0.42718	0.45278	0.4356	0.45426	0.43778	0.45948	0.4526	0.42592	0.43784	
H	0.43634	0.4711	0.4994	0.39964	0.37796	0.42004	0.451	0.40412	0.45902	0.45696	0.43054	0.44806	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.44562	0.38324	0.4258	0.45614	0.42768	0.39764	0.48108	0.42324	0.42406	0.43986	0.40252	0.42912	
B	0.48618	0.46526	0.4677	0.4912	0.46272	0.44936	0.51378	0.4457	0.48252	0.48102	0.45472	0.4141	
C	0.44354	0.45658	0.42846	0.43308	0.48266	0.42674	0.43782	0.43136	0.42282	0.43568	0.41418	0.44008	
D	0.4571	0.42988	0.45298	0.42526	0.45152	0.44308	0.47744	0.47932	0.45972	0.48162	0.4552	0.44454	
E	0.53842	0.56208	0.52218	0.53408	0.56752	0.54498	0.59408	0.55212	0.55014	0.59928	0.54216	0.56794	
F	0.50082	0.53726	0.5585	0.4951	0.54672	0.456	0.60014	0.49286	0.5344	0.59794	0.48468	0.5421	
G	0.46132	0.48694	0.4867	0.44082	0.46938	0.45042	0.46332	0.45296	0.47448	0.46582	0.44	0.45144	
