<>	1	2	3	4	5	6	7	8	9	10	11	12	
H	0.365	0.4377	0.51132	0.29224	0.46484	0.40146	0.55726	0.35098	0.37886	0.29304	0.3827	0.52528	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.23512	0.25026	0.38708	0.28078	0.3238	0.29992	0.39014	0.27292	0.26954	0.26902	0.27446	0.33402	
B	0.23808	0.30368	0.43978	0.2704	0.3817	0.31228	0.43074	0.30582	0.2607	0.29006	0.26564	0.30796	
C	0.2529	0.25828	0.383	0.28992	0.33798	0.2932	0.4215	0.29364	0.25628	0.29586	0.28368	0.3554	
D	0.2379	0.28204	0.40366	0.26466	0.3467	0.28752	0.43512	0.28984	0.26328	0.29606	0.28388	0.3412	
E	0.36494	0.463	0.56228	0.28662	0.47208	0.41934	0.63118	0.36046	0.42544	0.31752	0.429	0.55918	
F	0.3707	0.5116	0.52196	0.2834	0.46934	0.42166	0.64086	0.33562	0.39122	0.29514	0.40736	0.5469	
G	0.36926	0.46968	0.56672	0.29936	0.47232	0.37846	0.64962	0.34236	0.4344	0.33528	0.41994	0.53562	
H	0.37456	0.49154	0.55416	0.28082	0.48412	0.42682	0.60682	0.36508	0.40252	0.2974	0.40676	0.53322	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.23522	0.25446	0.40636	0.27792	0.33566	0.30384	0.4148	0.27902	0.26782	0.2683	0.27606	0.34474	
B	0.23488	0.31334	0.47994	0.28114	0.42158	0.31658	0.44128	0.3072	0.25944	0.28826	0.26448	0.32484	
C	0.25002	0.2569	0.41506	0.29222	0.35092	0.29744	0.44394	0.29598	0.2576	0.29456	0.28336	0.37288	
D	0.23732	0.29506	0.423	0.2655	0.3596	0.29224	0.4563	0.29162	0.26448	0.29614	0.2836	0.35716	
E	0.37272	0.51442	0.6049	0.30278	0.48854	0.45014	0.67628	0.3693	0.44034	0.31872	0.44696	0.59248	
F	0.37656	0.55338	0.56772	0.2904	0.48462	0.44066	0.68554	0.34806	0.41286	0.30218	0.42916	0.55906	
G	0.37544	0.5128	0.60368	0.29908	0.48762	0.39896	0.71282	0.35676	0.45656	0.33634	0.4462	0.56264	
H	0.38422	0.53632	0.5557	0.29008	0.50602	0.4507	0.6746	0.38026	0.42776	0.29996	0.42986	0.56954	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.23416	0.25334	0.42226	0.27926	0.34854	0.30742	0.44024	0.282	0.26716	0.26982	0.27402	0.36818	
B	0.23296	0.3411	0.52328	0.29878	0.4428	0.3456	0.45904	0.31094	0.25784	0.28868	0.26406	0.35612	
C	0.24908	0.26654	0.44178	0.2964	0.3703	0.3026	0.46546	0.30036	0.25464	0.2966	0.28542	0.40086	
D	0.23682	0.29788	0.4468	0.26702	0.37948	0.30232	0.48004	0.2963	0.26278	0.29714	0.28356	0.37604	
E	0.3836	0.5645	0.65516	0.33208	0.51082	0.48904	0.72198	0.38136	0.46242	0.32412	0.47104	0.64364	
F	0.39066	0.6029	0.59488	0.28748	0.50958	0.47088	0.7638	0.36756	0.44102	0.2976	0.45962	0.60232	
G	0.3876	0.56338	0.65694	0.30458	0.51406	0.43058	0.77974	0.37236	0.48102	0.34138	0.4768	0.60346	
H	0.39454	0.59006	0.65448	0.2962	0.55162	0.48184	0.72086	0.39958	0.46272	0.30686	0.45112	0.61368	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.23468	0.25544	0.44074	0.28108	0.37902	0.32496	0.45522	0.28416	0.26604	0.2684	0.27438	0.398	
