<>	1	2	3	4	5	6	7	8	9	10	11	12	
B	1.0616	1.0554	1.0401	1.0212	0.1079	0.1071	0.10878	0.10808	0.10668	0.1097	0.10426	0.1068	
C	1.0293	1.06	0.93738	1.064	0.10884	0.1101	0.10666	0.10594	0.10694	0.11188	0.10572	0.10832	
D	1.0278	1.0551	1.0724	1.0663	0.1084	0.10772	0.10402	0.10648	0.10512	0.11084	0.10586	0.10484	
E	0.57526	0.52296	0.5751	0.55636	0.10682	0.1073	0.1074	0.1071	0.10666	0.10782	0.10884	0.10446	
F	0.57144	0.53492	0.571	0.56358	0.10992	0.10916	0.1064	0.10708	0.10608	0.11092	0.10674	0.10536	
G	0.58932	0.56844	0.5985	0.59968	0.11926	0.11484	0.1153	0.12034	0.11238	0.10848	0.10714	0.10426	
H	0.6107	0.55894	0.55772	0.59982	0.10536	0.10924	0.10552	0.10666	0.10724	0.10996	0.10758	0.10768	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	1.0972	1.0377	1.0722	1.1291	0.1069	0.10992	0.10598	0.10752	0.10656	0.10796	0.10666	0.10516	
B	1.0735	1.1074	1.1265	1.1479	0.10804	0.10722	0.10876	0.1082	0.10682	0.10954	0.10444	0.1069	
C	1.038	1.0886	1.0782	1.0893	0.10906	0.11016	0.1067	0.10582	0.10686	0.11188	0.10598	0.10854	
D	1.0828	1.1105	1.0979	1.0985	0.10864	0.10794	0.10416	0.10666	0.10526	0.11088	0.10594	0.10502	
E	0.61448	0.55618	0.61204	0.59278	0.10712	0.10752	0.1078	0.10728	0.10686	0.1082	0.10914	0.10484	
F	0.60802	0.57034	0.61322	0.60428	0.11012	0.10958	0.10668	0.10752	0.1063	0.11134	0.1072	0.10558	
G	0.63018	0.61362	0.63934	0.6404	0.1193	0.11498	0.11544	0.12044	0.11246	0.10854	0.10776	0.10454	
H	0.656	0.59462	0.5931	0.63664	0.10554	0.10946	0.10578	0.10692	0.10734	0.1101	0.10776	0.10786	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	1.1631	1.1546	1.1354	1.1765	0.10708	0.10996	0.10592	0.10764	0.10672	0.108	0.10666	0.1052	
B	1.1142	1.1448	1.1185	1.1652	0.10818	0.10732	0.10886	0.1083	0.10692	0.10984	0.1045	0.10696	
C	1.0821	1.1423	1.0818	1.1658	0.10908	0.1103	0.10688	0.1061	0.1071	0.11212	0.10622	0.10866	
D	1.1288	1.165	1.1244	1.1547	0.10864	0.10798	0.10432	0.1067	0.1054	0.11106	0.10626	0.1053	
E	0.65386	0.59036	0.64434	0.6271	0.10716	0.10768	0.10774	0.10738	0.10692	0.1082	0.1092	0.10484	
F	0.65622	0.60628	0.65282	0.65196	0.11038	0.1096	0.10666	0.10764	0.1064	0.11144	0.10724	0.10568	
G	0.67856	0.66446	0.68274	0.68692	0.11964	0.1151	0.11582	0.12078	0.11262	0.10872	0.108	0.10474	
H	0.70232	0.63222	0.6297	0.6692	0.1059	0.1096	0.10584	0.10704	0.10758	0.11018	0.10794	0.10808	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	1.2636	1.1792	1.1493	1.2218	0.10698	0.10998	0.10574	0.10746	0.1067	0.10808	0.10672	0.10512	
